"","carat","cut","color","clarity","depth","table","price","x","y","z"
"20923",1.05,"Ideal","F","VVS2",61.5,57,9138,6.51,6.57,4.02
"27389",0.41,"Premium","J","VS1",62.1,58,647,4.75,4.79,2.96
"11153",1.01,"Premium","H","SI1",61.8,60,4943,6.44,6.38,3.96
"19098",1.51,"Premium","H","SI2",60.4,59,7864,7.3,7.27,4.4
"4839",0.9,"Very Good","I","VS2",63,60,3709,6.15,6.17,3.88
"44920",0.53,"Ideal","D","SI1",61.7,56,1631,5.15,5.23,3.2
"31747",0.4,"Very Good","D","SI1",61.4,56,772,4.72,4.83,2.93
"29494",0.32,"Ideal","E","VS2",61.6,55,702,4.41,4.42,2.72
"45122",0.52,"Premium","F","VS2",58.5,60,1651,5.29,5.24,3.08
"19311",1.54,"Premium","E","SI2",59,62,8020,7.59,7.56,4.47
"30713",0.33,"Ideal","E","VS2",60.5,55,738,4.52,4.56,2.74
"29082",0.36,"Ideal","H","VVS2",61.4,55,689,4.57,4.6,2.82
"50972",0.31,"Good","E","SI1",63.4,57,544,4.31,4.33,2.74
"38752",0.35,"Premium","G","IF",60.6,60,1044,4.54,4.57,2.76
"47463",0.55,"Ideal","F","VS1",61,55,1857,5.29,5.33,3.24
"36395",0.4,"Ideal","G","SI1",61.5,57,942,4.74,4.76,2.92
"21703",0.35,"Ideal","I","VVS1",61.8,55,627,4.53,4.56,2.81
"7062",0.33,"Premium","I","VVS2",61,59,579,4.41,4.44,2.7
"31044",0.33,"Ideal","F","VVS2",62.4,55,750,4.43,4.45,2.77
"30834",0.33,"Premium","H","VS1",59.7,59,743,4.53,4.52,2.7
"41439",0.48,"Good","G","VS1",58.2,59.2,1228,5.09,5.14,2.98
"40559",0.41,"Very Good","G","VVS1",60,59,1151,4.83,4.84,2.9
"7119",1.01,"Good","E","SI2",57.5,63,4171,6.56,6.58,3.78
"32530",0.35,"Very Good","G","VVS2",62.8,58,798,4.44,4.48,2.8
"6860",1.05,"Ideal","J","SI2",62.3,54,4126,6.52,6.55,4.07
"50438",0.72,"Premium","I","SI1",61.5,59,2262,5.78,5.73,3.54
"6554",1.01,"Premium","I","SI1",58.6,62,4072,6.51,6.45,3.8
"34475",0.38,"Ideal","E","VS2",61.7,55,866,4.66,4.68,2.88
"50903",0.65,"Very Good","H","VVS1",61.6,58,2318,5.57,5.62,3.42
"45187",0.51,"Ideal","G","VS1",62.2,55,1656,5.11,5.14,3.19
"22068",1.56,"Premium","E","SI2",62.4,60,10090,7.41,7.36,4.61
"43698",0.5,"Good","F","VS2",63.6,57,1436,5.03,5.07,3.21
"4064",0.31,"Good","D","SI1",63.5,57,571,4.28,4.32,2.73
"52877",0.82,"Very Good","I","VS1",63.6,58.9,2583,5.88,5.93,3.76
"51775",0.72,"Ideal","H","SI2",61.3,55,2410,5.78,5.81,3.55
"36192",0.4,"Ideal","G","VVS2",61.9,55,931,4.72,4.75,2.93
"49187",0.51,"Ideal","E","VS1",62.8,57,2075,5.1,5.07,3.2
"21731",1.03,"Ideal","D","VVS2",62,56,9798,6.46,6.55,4.03
"11009",1.1,"Premium","H","SI1",63,58,4916,6.6,6.55,4.14
"41480",0.56,"Very Good","J","VS2",60.6,57,1232,5.35,5.38,3.25
"2845",0.56,"Ideal","D","VVS1",61.8,56,3270,5.28,5.31,3.27
"26368",0.32,"Good","H","VVS2",63.4,56,645,4.34,4.37,2.76
"49281",0.6,"Ideal","G","VS1",61.3,60,2091,5.39,5.41,3.31
"40209",0.31,"Ideal","F","IF",62.3,57,1122,4.34,4.3,2.69
"12197",1.08,"Ideal","E","SI1",62.6,57,5189,6.56,6.53,4.1
"12380",0.39,"Very Good","G","SI2",63.2,57,597,4.65,4.57,2.92
"45746",0.52,"Ideal","D","VS2",62,53,1701,5.17,5.21,3.22
"4160",1.09,"Ideal","G","I1",61,56,3549,6.62,6.66,4.05
"30615",0.34,"Very Good","F","SI2",61.7,61,447,4.44,4.48,2.75
"8040",1.01,"Ideal","I","SI2",62.5,57,4336,6.38,6.45,4.01
"18764",1,"Good","D","VS1",62.7,62,7672,6.21,6.23,3.9
"33055",0.3,"Ideal","F","VVS1",61.9,58,814,4.26,4.3,2.65
"1875",0.79,"Very Good","F","SI1",58.5,61,3073,6.03,6.08,3.54
"3429",0.71,"Premium","H","IF",60.2,61,3384,5.8,5.76,3.48
"38268",0.26,"Very Good","E","SI1",62,54,384,4.08,4.11,2.54
"11491",1.13,"Very Good","F","SI1",61.2,59,5017,6.72,6.75,4.12
"30527",0.44,"Ideal","H","SI1",61.9,57,733,4.9,4.92,3.04
"53115",0.78,"Ideal","H","SI1",61.1,57,2616,5.9,5.94,3.62
"40117",0.41,"Ideal","F","VVS2",61.7,57,1115,4.73,4.8,2.94
"46207",0.51,"Ideal","G","VVS2",62,57,1750,5.1,5.13,3.17
"50653",0.31,"Premium","H","VS1",62.4,58,544,4.32,4.36,2.71
"40980",0.41,"Premium","D","VVS2",62.2,58,1181,4.8,4.78,2.98
"41539",0.42,"Ideal","D","VS1",61.5,54,1235,4.84,4.79,2.96
"6580",0.9,"Good","D","SI2",64,59,4078,6.04,6.09,3.88
"49848",0.72,"Very Good","G","SI1",63.6,56,2170,5.69,5.72,3.63
"29033",0.31,"Ideal","H","VVS1",62.3,53,687,4.35,4.38,2.72
"43962",0.34,"Ideal","H","VS2",61.2,55,517,4.49,4.53,2.76
"35798",0.34,"Ideal","F","VVS2",61.8,56,914,4.49,4.47,2.77
"24209",1.63,"Premium","F","SI1",59.7,62,12394,7.73,7.65,4.59
"47515",0.55,"Very Good","D","VS2",59.8,57,1867,5.31,5.35,3.19
"41095",0.51,"Good","D","SI1",63.4,59,1193,5.07,5.02,3.2
"21604",1.25,"Premium","F","VS2",60.8,58,9702,6.98,6.93,4.23
"25626",1,"Ideal","D","VVS1",60.7,56,14498,6.47,6.54,3.95
"17662",1.07,"Very Good","F","VS1",62,58,7118,6.57,6.59,4.08
"8572",1,"Good","E","SI1",63.1,64,4435,6.31,6.25,3.96
"20110",1.5,"Ideal","G","SI2",62,57,8580,7.26,7.31,4.52
"17751",1.46,"Very Good","I","SI1",62.5,57,7146,7.15,7.19,4.48
"14729",0.3,"Good","G","VS1",63.1,56,605,4.24,4.26,2.68
"18575",1.07,"Ideal","G","VS2",61.7,55,7577,6.53,6.57,4.04
"10908",1.01,"Fair","G","VS2",64.9,56,4887,6.27,6.21,4.05
"50862",0.7,"Very Good","F","SI1",61.7,59,2313,5.64,5.68,3.49
"51742",0.81,"Premium","F","SI1",59.4,60,2403,6.11,6.07,3.62
"27232",1.7,"Good","F","VS2",62.2,56,17597,7.54,7.6,4.71
"24898",1.71,"Premium","D","SI2",60.6,60,13325,7.76,7.69,4.68
"13449",1.2,"Very Good","I","SI1",62.6,59,5522,6.75,6.71,4.21
"35414",0.4,"Ideal","G","SI1",60.2,56,900,4.83,4.77,2.89
"28308",0.3,"Very Good","H","SI1",62.9,57,432,4.22,4.27,2.67
"22697",0.3,"Premium","G","VS2",59.3,59,630,4.42,4.38,2.61
"7197",1.01,"Very Good","I","SI1",63.6,58,4189,6.31,6.36,4.03
"13980",1.21,"Ideal","H","SI2",62.1,55,5692,6.87,6.82,4.25
"6420",1.02,"Premium","F","SI2",61,58,4043,6.49,6.52,3.97
"3356",0.8,"Very Good","G","VS1",63.5,57,3381,5.87,5.91,3.74
"3520",0.91,"Very Good","F","SI2",63,59,3405,6.12,6.17,3.87
"6977",0.9,"Very Good","E","SI1",63.1,58,4151,6.12,6.02,3.83
"27033",0.32,"Ideal","G","VS1",61.9,55,645,4.39,4.43,2.73
"16534",1.01,"Good","E","VS2",56.7,61,6606,6.71,6.66,3.79
"37242",0.5,"Good","F","SI1",64.3,57,975,5.03,4.94,3.21
"21722",1.52,"Premium","D","SI2",61.5,60,9789,7.44,7.39,4.56
"23395",0.36,"Very Good","E","VS2",59.9,55,631,4.66,4.69,2.8
"37427",0.33,"Ideal","G","IF",61.6,56,984,4.45,4.48,2.75
"4921",1.21,"Good","E","I1",63.3,63,3726,6.67,6.72,4.24
"6031",0.25,"Very Good","E","VVS1",60,56,575,4.1,4.14,2.47
"33716",0.33,"Ideal","H","IF",61.4,54,838,4.47,4.49,2.75
"39747",0.43,"Ideal","G","VS2",62.4,56,1093,4.87,4.84,3.02
"35113",0.3,"Ideal","F","IF",62,56,886,4.31,4.33,2.68
"44627",0.57,"Premium","G","VS2",59.7,59,1608,5.37,5.41,3.22
"40827",0.48,"Premium","F","SI1",61.1,61,1170,5.05,5,3.07
"29646",0.35,"Very Good","G","VS1",62.5,55,706,4.51,4.55,2.83
"5922",1,"Good","G","SI2",57.4,60,3941,6.63,6.53,3.78
"23753",1.6,"Premium","H","VS2",62.1,60,11796,7.51,7.44,4.64
"29696",0.31,"Premium","G","VVS2",60.5,58,707,4.39,4.43,2.67
"6799",1.01,"Good","H","SI1",63.4,58,4116,6.37,6.41,4.05
"32441",0.43,"Very Good","F","SI1",62.9,59,792,4.79,4.84,3.03
"44005",0.3,"Premium","J","VS1",62.6,60,394,4.22,4.28,2.66
"14028",1.01,"Ideal","D","SI1",62,55,5702,6.39,6.45,3.98
"52758",0.71,"Very Good","H","VS1",63.9,60,2562,5.54,5.6,3.56
"21653",1.7,"Very Good","H","SI2",63.8,55,9745,7.47,7.55,4.79
"34882",0.4,"Very Good","E","VS2",62,60,879,4.67,4.69,2.9
"8929",1.01,"Premium","F","SI2",62.7,59,4497,6.4,6.35,4
"11789",1.03,"Premium","F","SI1",61.5,59,5087,6.49,6.42,3.97
"50820",0.71,"Ideal","E","SI1",61.5,57,2308,5.74,5.78,3.54
"18206",1.19,"Premium","G","VS2",61.9,58,7389,6.86,6.74,4.21
"43721",0.51,"Very Good","G","VS2",62.4,62,1438,5.07,5.09,3.17
"14535",1.08,"Ideal","H","SI1",60,58,5867,6.69,6.66,4.01
"28408",0.35,"Premium","D","SI2",62.3,58,669,4.54,4.48,2.81
"22644",1.5,"Good","H","VS2",63.9,60,10692,7.17,7.22,4.6
"42852",0.41,"Ideal","D","VVS2",62.3,57,1356,4.76,4.74,2.96
"49987",0.7,"Good","F","SI1",57.9,63,2190,5.8,5.84,3.37
"7388",0.33,"Ideal","G","VS2",62.2,56,579,4.44,4.47,2.77
"41012",0.42,"Ideal","D","VVS2",61.7,55,1185,4.79,4.83,2.97
"35032",0.4,"Ideal","E","SI1",63,57,882,4.68,4.65,2.94
"32098",0.33,"Ideal","E","VS1",62.7,57,781,4.38,4.45,2.77
"42647",0.4,"Ideal","E","VVS1",62.6,56,1333,4.7,4.73,2.95
"30994",0.37,"Premium","F","VS2",61.2,58,746,4.63,4.69,2.85
"7525",1.01,"Premium","G","SI2",59.1,59,4242,6.55,6.51,3.86
"49510",0.73,"Ideal","J","VS1",62,53,2121,5.78,5.82,3.6
"36441",0.31,"Ideal","D","VS2",61.9,56,942,4.38,4.34,2.7
"37338",0.43,"Ideal","E","VS2",62.2,57,981,4.8,4.84,3
"7189",0.9,"Good","I","VVS1",63.6,58,4187,6.1,6.14,3.89
"41073",0.41,"Ideal","F","VVS2",60.6,57,1192,4.86,4.81,2.93
"6012",0.91,"Premium","E","SI1",61.9,61,3961,6.14,6.11,3.79
"20346",1.15,"Ideal","F","VVS2",62.1,55,8743,6.69,6.74,4.17
"5376",0.34,"Premium","J","VS1",61.7,58,574,4.47,4.41,2.74
"24577",1.51,"Very Good","G","VS2",63.5,57,12872,7.23,7.19,4.58
"29527",0.38,"Ideal","I","VS1",61.5,53.9,703,4.66,4.7,2.89
"18752",1.01,"Premium","G","VVS2",60.5,60,7665,6.58,6.51,3.96
"9097",1.01,"Premium","I","SI1",60.8,61,4525,6.47,6.43,3.92
"1301",0.72,"Premium","E","VS2",61.1,59,2954,5.75,5.8,3.53
"36183",0.41,"Premium","E","SI1",61,61,930,4.77,4.74,2.9
"38106",0.36,"Premium","E","VS2",60.3,62,1013,4.59,4.56,2.76
"14996",1.07,"Ideal","G","VS2",62.2,57,6040,6.55,6.5,4.06
"15798",1.29,"Ideal","G","SI2",61.5,55,6321,7.03,6.99,4.31
"43894",0.3,"Ideal","D","SI1",62.4,54,508,4.32,4.34,2.7
"1672",0.7,"Very Good","G","VS2",61.8,55,3026,5.69,5.74,3.53
"464",0.7,"Premium","E","VS2",59.3,60,2818,5.78,5.73,3.41
"46068",0.54,"Ideal","G","SI1",61.9,55,1736,5.24,5.26,3.25
"20098",1.51,"Very Good","G","SI2",63.2,55,8574,7.32,7.27,4.61
"9732",1.08,"Premium","E","SI2",60.8,59,4656,6.57,6.62,4.01
"43548",0.53,"Premium","H","VS2",59.4,59,1428,5.31,5.27,3.14
"37899",0.41,"Ideal","D","VS2",62.2,57,1007,4.72,4.76,2.95
"423",0.71,"Ideal","D","SI1",62.4,57,2812,5.69,5.72,3.56
"35646",0.31,"Premium","G","VVS2",62.2,59,907,4.36,4.32,2.7
"10840",1.2,"Premium","I","SI1",61.7,56,4872,6.82,6.76,4.19
"20345",1.51,"Good","D","SI2",61.5,61,8742,7.37,7.42,4.55
"12037",0.34,"Ideal","G","VS2",62.7,55,596,4.48,4.49,2.81
"29673",0.28,"Very Good","F","VVS2",61.1,57,707,4.24,4.27,2.6
"16441",1.33,"Premium","G","SI2",60.3,58,6565,7.16,7.19,4.33
"907",0.7,"Good","F","VS1",59.1,62,2877,5.82,5.86,3.44
"15134",1.25,"Premium","I","VS2",61,59,6084,6.98,6.89,4.23
"43640",0.5,"Premium","F","VS2",60.6,61,1433,5.13,5.1,3.1
"47028",0.56,"Ideal","H","VVS1",62.1,54,1819,5.28,5.31,3.29
"22186",1.22,"Ideal","G","VVS2",62.3,56,10221,6.84,6.81,4.25
"44225",0.57,"Premium","G","VS2",61.1,59,1571,5.39,5.32,3.27
"45171",0.5,"Premium","E","VS2",58.6,60,1654,5.21,5.16,3.04
"752",0.77,"Premium","F","SI1",60.8,59,2856,5.92,5.86,3.58
"40698",0.4,"Ideal","E","VVS2",62.2,56,1158,4.71,4.78,2.95
"42573",0.55,"Ideal","I","VS2",58.5,62,1327,5.4,5.39,3.16
"49280",0.54,"Good","F","VS1",63.7,55,2090,5.16,5.11,3.27
"36754",0.33,"Ideal","F","VVS1",61.8,57,955,4.43,4.47,2.75
"32075",0.32,"Ideal","F","VS2",61.4,55,781,4.43,4.46,2.73
"47912",0.59,"Very Good","G","VS1",57.4,63,1915,5.54,5.58,3.19
"4483",0.61,"Ideal","D","VVS1",62.3,54,3625,5.4,5.45,3.38
"52811",0.71,"Premium","I","VVS1",63,58,2572,5.68,5.66,3.57
"11886",1.06,"Premium","G","SI1",62.2,57,5113,6.53,6.47,4.04
"46428",0.56,"Very Good","E","VS2",61.1,57,1770,5.33,5.38,3.27
"50896",0.51,"Ideal","E","VVS1",62.4,55,2317,5.08,5.12,3.18
"9751",1.27,"Premium","J","SI2",60.4,58,4660,7.04,7,4.24
"11336",1.01,"Good","F","SI1",63.6,58,4989,6.37,6.31,4.03
"11351",1.02,"Premium","E","SI2",58.7,58,4990,6.68,6.61,3.9
"47149",0.53,"Ideal","F","VS2",61.7,57,1832,5.23,5.21,3.22
"37099",0.41,"Ideal","E","SI1",62.7,57,969,4.77,4.74,2.98
"9023",0.9,"Very Good","G","VS1",61.3,61,4515,6.15,6.25,3.8
"44456",0.5,"Very Good","G","VS1",61.3,58,1592,5.03,5.09,3.1
"15517",1.48,"Premium","H","SI2",59.7,59,6216,7.46,7.42,4.44
"673",0.72,"Ideal","E","SI1",60.3,57,2847,5.83,5.85,3.52
"4596",0.7,"Ideal","H","VS2",61.9,56,3656,5.68,5.73,3.53
"7567",0.72,"Ideal","F","VVS1",62,56,4252,5.73,5.75,3.56
"12355",1.24,"Very Good","H","SI2",61,59,5231,6.93,7,4.25
"20883",1.51,"Ideal","G","SI2",61.2,56.1,9104,7.39,7.41,4.53
"4014",0.79,"Very Good","F","SI1",62.9,57,3519,5.86,5.94,3.71
"47952",0.71,"Premium","J","VS2",62.8,61,1917,5.71,5.63,3.56
"46094",0.51,"Ideal","D","VS2",61,57,1740,5.15,5.18,3.15
"30878",0.33,"Premium","E","SI1",61.1,58,743,4.47,4.43,2.72
"29048",0.4,"Good","I","VS1",63.5,55,687,4.67,4.71,2.98
"3150",0.9,"Good","E","SI1",63.8,61,3332,6.08,6.05,3.87
"15744",1,"Premium","F","VS2",62.9,59,6296,6.47,6.4,4.02
"9385",0.32,"Ideal","D","SI1",61.5,56,589,4.39,4.42,2.71
"38451",0.31,"Ideal","E","VVS1",62.4,56,1028,4.37,4.35,2.72
"48415",0.65,"Premium","F","VS2",59.6,58,1970,5.65,5.62,3.36
"45888",0.52,"Ideal","I","VS1",62.7,57,1720,5.17,5.14,3.23
"9621",1.28,"Premium","J","SI2",62.3,58,4636,6.94,6.89,4.31
"14642",1.33,"Very Good","J","VS2",63.9,57,5913,6.91,6.96,4.43
"15477",1.2,"Very Good","H","SI1",62.4,60,6199,6.75,6.71,4.2
"32274",0.36,"Very Good","E","VS2",62.3,58,789,4.51,4.55,2.82
"20564",1.28,"Premium","G","VS2",61.6,58,8874,7.02,6.98,4.31
"3874",0.81,"Ideal","F","SI1",62.3,55,3481,5.96,6,3.72
"47368",0.63,"Premium","E","SI1",58.8,59,1846,5.68,5.62,3.32
"16933",1.28,"Premium","I","VS2",61.7,60,6762,7.05,6.95,4.32
"21132",1.22,"Premium","E","VS2",62.2,55,9292,6.91,6.85,4.28
"33474",0.32,"Ideal","F","VS2",61.1,57,828,4.44,4.4,2.7
"2345",0.83,"Ideal","G","SI1",61.8,55,3171,6.05,6.09,3.75
"29119",0.34,"Very Good","H","VS2",63.3,56,689,4.45,4.39,2.8
"47696",0.5,"Ideal","G","VVS1",61.9,58,1883,5.06,5.09,3.14
"512",0.9,"Good","I","SI1",63.8,57,2823,6.06,6.13,3.89
"2304",0.74,"Good","E","VS2",63.5,56,3163,5.75,5.8,3.67
"36682",0.4,"Very Good","F","VS1",62,56,951,4.71,4.73,2.92
"19125",0.83,"Very Good","D","IF",59.7,53,7889,6.14,6.23,3.69
"49924",0.77,"Fair","I","VS1",65.1,57,2184,5.65,5.77,3.72
"37997",0.43,"Ideal","G","VS1",61.9,55,1008,4.86,4.84,3
"9581",1.08,"Premium","G","SI2",62.9,59,4627,6.57,6.53,4.12
"19171",1.17,"Ideal","F","VS2",61.8,55,7927,6.74,6.81,4.19
"15724",1.04,"Ideal","G","VS2",62.6,55,6290,6.49,6.45,4.05
"51130",0.71,"Ideal","E","SI2",58.7,57,2340,5.89,5.86,3.44
"35026",0.4,"Very Good","E","SI1",63.2,58,882,4.7,4.66,2.96
"53722",0.78,"Very Good","G","SI1",63,58,2721,5.82,5.86,3.68
"34805",0.31,"Ideal","D","VS1",62,54,877,4.36,4.35,2.7
"47237",0.71,"Very Good","J","SI1",62.8,57,1841,5.64,5.67,3.55
"12017",1.26,"Premium","I","SI2",60.1,59,5151,7,6.91,4.18
"10917",1.02,"Ideal","G","SI2",61,57,4890,6.51,6.58,3.99
"13667",1.02,"Premium","G","VS2",62.9,58,5593,6.41,6.37,4.02
"29118",0.34,"Ideal","H","VS2",62.6,54,689,4.5,4.45,2.8
"31110",0.41,"Very Good","J","VVS2",63.1,60,754,4.67,4.71,2.96
"4689",1.01,"Very Good","E","SI2",63.3,58,3674,6.4,6.31,4.02
"12967",0.92,"Good","G","VVS2",58.8,57,5390,6.32,6.37,3.73
"17282",1.26,"Ideal","F","SI1",60.6,56,6922,7.05,6.98,4.25
"2361",0.9,"Ideal","J","VS1",62.5,55,3175,6.18,6.14,3.85
"43031",0.5,"Very Good","G","VS2",62.8,56,1373,5.05,5.08,3.18
"29776",0.3,"Ideal","I","VVS1",62.3,55,709,4.29,4.28,2.67
"44753",0.51,"Premium","D","SI1",62.2,58,1619,5.13,5.06,3.17
